Time,PRECIP,PET_Pristley-Taylor(mm),runoff,srad(W/m2),tmax(C),tmin(C),vp(Pa)
1985-9-21,0,3.168385317,0.2945,392.04,28,13.83,1586.02
1985-9-22,0,2.905885057,0.3143,340.43,26.15,14.97,1711.5
1985-9-23,4.2,2.304969844,0.3511,128.04,24.44,19.43,2263.73
1985-9-24,4.91,2.562322415,0.4106,167.28,25.94,19.15,2224.56
1985-9-25,0,2.733933702,0.4049,367.22,24.87,12.3,1424.25
1985-9-26,54.98,2.478286609,0.4899,211.71,23.5,14.69,1673.67
1985-9-27,66.61,2.313053397,2.0105,175.52,23,15.93,1794.32
1985-9-28,0,2.389542862,3.5679,338.12,22,11,1320
1985-9-29,0,2.501908877,2.8317,399.31,23.5,8.33,1106.64
1985-9-30,0,2.498718466,1.9369,384.51,24,9.45,1196.36
1985-10-1,0,2.496421317,1.2629,312.76,25.08,14.18,1614.55
1985-10-2,2.07,2.445795984,0.9373,272.85,25,14.5,1639.9
1985-10-3,30.19,1.897408374,1.1242,135.38,20.33,14.76,1680.9
1985-10-4,2.27,1.768790689,1.5319,147.3,19.33,14.48,1638.5
1985-10-5,0,2.210357767,1.464,294.17,23.21,13.33,1532.56
1985-10-6,0,1.985368026,1.1695,359.27,19.5,6.54,963.19
1985-10-7,0,1.919689496,0.9939,378.81,19,4.38,830.68
1985-10-8,0,1.97889266,0.8693,396.68,21.01,3.82,800
1985-10-9,0,2.08878496,0.79,382.47,23.35,6.6,967.88
1985-10-10,0,2.23671706,0.7306,333.25,25.74,12.2,1415.74
1985-10-11,0,1.980324507,0.6938,281.41,22.48,12.16,1413
1985-10-12,0,1.707187235,0.6711,334.02,18,5.22,897.77
1985-10-13,0,1.969871138,0.6513,312.88,23.22,10.84,1307.32
1985-10-14,0,2.076881622,0.6513,303,25.5,13.21,1513.19
1985-10-15,0,2.197688122,0.6513,260.39,28,17.58,2012.49
1985-10-16,0,1.940330442,0.6598,314.01,24.49,11.58,1366.5
1985-10-17,0,1.653625497,0.6456,350.01,20.48,5.26,900.55
1985-10-18,0,1.537550076,0.6258,363.77,19.33,2.57,726.65
1985-10-19,0,1.838745074,0.6088,303.31,24.5,11.82,1385.29
1985-10-20,1.99,1.702159586,0.606,274.12,22.5,11.74,1379.22
1985-10-21,0,1.306151318,0.6116,169.79,16,10.26,1260.6
1985-10-22,0,1.370436777,0.606,165.48,18.17,12.49,1439.5
1985-10-23,0,1.514911807,0.5947,209.35,20.91,13.25,1520.55
1985-10-24,0,1.596668864,0.5918,246.33,22.75,13.11,1504.76
1985-10-25,0,1.579225626,0.572,275.38,23.1,11.7,1376.34
1985-10-26,0,1.303833736,0.5663,344.99,20.5,2.77,741.21
1985-10-27,0,1.349992463,0.5607,313.73,20.76,5.98,931.16
1985-10-28,0,1.223194806,0.5437,271.55,17.22,5.84,920.03
1985-10-29,0,1.028230392,0.5437,306.17,13.5,-0.1,604.15
1985-10-30,0,1.018760441,0.5465,334.62,16,-1.52,558.32
1985-10-31,0,1.095300999,0.5578,130.49,15.88,10.94,1315.27
1985-11-1,0,1.13596022,0.5692,159.93,17,10.82,1305.58
1985-11-2,0,1.08412075,0.589,158.36,16.07,9.93,1234.2
1985-11-3,0,1.014242217,0.6768,105.92,15.5,11.48,1358.09
1985-11-4,10.08,1.019934313,0.606,72.77,16.5,12.81,1464.73
1985-11-5,7.71,1.046352561,1.2771,122.13,16.5,10.19,1255.42
1985-11-6,1.53,0.97332517,0.9401,160.78,14.83,8.76,1140.55
1985-11-7,0,0.9476101,0.8212,269.94,16.4,4.5,840
1985-11-8,0,0.909351109,0.7277,248.27,15,4.74,859.22
1985-11-9,0,0.914759642,0.6654,283.64,17.82,4.26,820.77
1985-11-10,0,1.109759948,0.6513,227.48,21.5,11.59,1366.88
1985-11-11,0,1.12124451,0.6286,252.76,23.45,11.35,1347.92
1985-11-12,0,0.99944934,0.6173,179.02,18.72,11.53,1362.09
1985-11-13,0,1.037293693,0.6003,185.53,20.35,12.75,1463.55
1985-11-14,0,1.012799031,0.5862,232.41,21.45,10.97,1317.46
1985-11-15,0,0.850057703,0.5748,270.49,19.97,6.24,938.84
1985-11-16,13.37,0.747494699,0.6116,173.29,13.94,4.25,820.05
1985-11-17,8.55,0.841627555,0.8948,161.93,17.24,8.22,1097.61
1985-11-18,0,0.7206218,0.8722,261.29,16.5,3.96,803.8
1985-11-19,0,0.867254481,0.7646,219.95,19.5,9.75,1220.37
1985-11-20,0,1.004856743,0.6909,192.47,23,14.36,1628.44
1985-11-21,0,0.788665574,0.657,239.51,19.74,8,1080
1985-11-22,18.57,0.659932076,0.8552,155.57,13.22,4.28,822.5
1985-11-23,0,0.579526634,1.144,217.77,10.76,1.26,660.83
1985-11-24,0,0.579037364,1.0534,228.84,12.24,1.76,700.93
1985-11-25,1.58,0.524151274,0.8863,222.1,9.5,-0.38,596.11
1985-11-26,2.28,0.556824857,0.8353,209.4,11.84,1.76,700.83
1985-11-27,2.46,0.636250045,0.7985,162.32,13.36,5.77,920
1985-11-28,10.14,0.620276685,0.8184,111.43,11.54,5.8,920
1985-11-29,11.89,0.567165198,1.1015,108.97,9.11,3.75,800
1985-11-30,13.51,0.599046787,1.2318,96.5,10.51,5.73,919.37
1985-12-1,7.53,0.644077933,1.6424,88.2,12.66,8.23,1098.56
1985-12-2,2.12,0.485262692,1.7698,239.84,14.75,2,720
1985-12-3,0,0.415394012,1.4073,208.68,5.78,-3.02,480
1985-12-4,0,0.382629649,1.144,187.49,2.58,-5,440
1985-12-5,0,0.352785739,1.0279,224.47,3.95,-6.22,382.16
1985-12-6,3.89,0.454146423,1.0477,75.43,3.56,-0.23,600
1985-12-7,0,0.424852587,1.0477,173.5,5.5,-1.51,558.97
1985-12-8,0,0.413154922,0.9571,216.44,8.86,-1.02,560
1985-12-9,0,0.316189556,0.8976,255.6,10.94,-4,440
1985-12-10,0,0.35947989,0.8665,243.16,11.35,-1.83,533.48
1985-12-11,0,0.418194207,0.8467,234.84,14.59,1.89,710.9
1985-12-12,0,0.514244492,0.8297,213.07,16.7,5.83,920
1985-12-13,7,0.493406668,0.8948,125.29,11,3.71,796.66
1985-12-14,0.03,0.357770215,0.9769,216.16,7.39,-3.01,480
1985-12-15,0,0.276142366,0.9146,238.36,3.49,-8.76,320
1985-12-16,0,0.290597097,0.8608,237.55,5.85,-6.74,360
1985-12-17,0,0.36035061,0.8438,200.32,6,-3.16,480.47
1985-12-18,0,0.291593912,0.8212,233.78,5.2,-6.87,360
1985-12-19,0,0.25169046,0.8212,221.2,-1.5,-12.02,240
1985-12-20,5.24,0.251690128,0.8184,180.52,-2.03,-12.15,240
1985-12-21,0,0.287239292,0.79,206.72,-1.5,-9.43,292.28
1985-12-22,0,0.24403127,0.7504,260.95,-0.53,-12.31,240
1985-12-23,0,0.353900656,0.7362,230.63,6.5,-3.26,479.46
1985-12-24,0,0.420162951,0.7362,229.22,11.25,1.25,661.38
1985-12-25,0,0.293883072,0.7334,270.28,8.96,-5,440
1985-12-26,0,0.270032337,0.7702,202.84,-3.5,-11.31,255.59
1985-12-27,0,0.270589226,0.773,268.18,4.26,-8.94,314.29
1985-12-28,0,0.371809518,0.7249,197.28,5.5,-3.21,480
1985-12-29,0,0.350225033,0.7079,216.35,6.68,-4,440
1985-12-30,0,0.317717326,0.7079,221.95,4.5,-6.68,360
1985-12-31,3,0.295457898,0.7051,203.03,7.39,-6.77,360.06
1986-1-1,1.33,0.385644435,0.6853,192.93,6.49,-2.93,485.63
1986-1-2,0,0.324098909,0.7872,240.58,8.5,-5.32,414.23
1986-1-3,12,0.466404122,0.7589,144.25,10.94,1.44,674.89
1986-1-4,0,0.460096177,0.841,166.37,8,0.26,620.83
1986-1-5,4,0.449697491,0.9345,141.53,8.66,-0.36,600
1986-1-6,0,0.422482531,0.9175,183.42,6,-2.5,520
1986-1-7,0,0.375826653,0.8467,154.14,0.7,-6,400
1986-1-8,0,0.335588901,0.7957,183.53,-1,-9.18,305.88
1986-1-9,0,0.335412502,0.7391,244.17,3.86,-9.05,312.79
1986-1-10,0,0.408708157,0.6881,244.23,9.34,-3.85,452.2
1986-1-11,0,0.385509776,0.6824,245.85,6.72,-6.27,378.7
1986-1-12,0,0.430813356,0.6909,246.03,9.32,-3.74,460.6
1986-1-13,0,0.423921127,0.6824,247.55,8,-4.92,440
1986-1-14,0,0.361998998,0.6824,201.79,-1,-9.82,280
1986-1-15,0,0.323265291,0.6739,205.9,-4.06,-12.99,235.42
1986-1-16,0,0.350060275,0.6343,277.13,3.56,-12.28,240
1986-1-17,0,0.442431671,0.6485,268.57,8.5,-6.22,382.34
1986-1-18,0,0.669148933,0.6513,244.8,16.76,4.08,812.32
1986-1-19,9.89,0.752077849,0.7079,141.91,15.51,7.04,1003.34
1986-1-20,0.13,0.663476087,0.9118,203.73,12.05,3,760.05
1986-1-21,0,0.621814444,0.9061,221.88,10.38,0.5,640
1986-1-22,0,0.599932388,0.8269,273.67,13,-1.5,560
1986-1-23,0,0.599796615,0.7702,260.53,10.36,-2.2,520
1986-1-24,0,0.517750155,0.7334,211.49,2.95,-5.66,400
1986-1-25,15.29,0.607536298,0.7023,202.25,9.59,-3.33,480
1986-1-26,45.87,0.732679631,1.1638,135.45,10.5,3.31,785.02
1986-1-27,7.53,0.589167197,2.8317,155.54,4.5,-3.67,466.57
1986-1-28,7.71,0.435263213,3.1715,207.67,-2.65,-12.76,240
1986-1-29,4.47,0.423445024,2.1861,232.51,-3.04,-15.01,200
1986-1-30,0,0.476076443,1.6537,261.66,-1.95,-11,280
1986-1-31,0,0.536368366,1.3309,322.3,1.97,-10.86,280
1986-2-1,0,0.592524878,1.2006,340.3,4.77,-9.66,280
1986-2-2,0.64,0.87744089,1.2544,323.04,14.74,1.07,647.39
1986-2-3,0,0.773685266,1.3592,302.35,9.27,-2.27,520
1986-2-4,14.87,0.710062604,1.5093,106.59,5,0.55,640
1986-2-5,4.44,0.818390386,2.0954,136.54,8.3,2.45,720.14
1986-2-6,0,0.807298505,2.0954,168.5,7.42,1.5,680
1986-2-7,8.84,0.683280997,1.9765,133.92,2.5,-3.59,472.68
1986-2-8,0,0.683761332,1.8576,180.28,2.08,-3.88,452.83
1986-2-9,0,0.709009019,1.6339,163.42,2.67,-2.52,515.55
1986-2-10,0,0.722146685,1.5178,126.39,3.24,-0.54,596.91
1986-2-11,6.58,0.694597505,1.5036,129.89,1.33,-3.81,455.06
1986-2-12,0,0.620871532,1.43,240.71,-2,-9.24,300.83
1986-2-13,0,0.630015909,1.2743,268.34,-2.09,-10.39,280
1986-2-14,8.35,0.686896403,1.1582,272.84,-0.26,-11.59,243.65
1986-2-15,6.89,0.745885927,1.1327,216.43,1,-6.55,361.75
1986-2-16,0,0.792847172,1.1072,369.02,2.13,-8.72,320
1986-2-17,0,1.13044135,1.1582,381.2,11.32,-0.73,581.24
1986-2-18,7.87,1.019689763,1.5574,185.76,8.15,2.02,720
1986-2-19,6.93,0.916314405,2.0756,130.16,5.98,2,720
1986-2-20,1.96,0.910460704,2.0954,136.66,6.5,3.5,800
1986-2-21,13.4,1.174663583,1.9935,197.33,10.49,3.5,800
1986-2-22,3.78,1.05984019,2.1209,237.98,6.64,-2.12,520
1986-2-23,5,0.97059164,2.1549,188.92,4.5,-1.66,547.26
1986-2-24,0,0.985921853,2.0615,337.15,3.74,-5.35,411.65
1986-2-25,2,0.939517361,1.8944,283.18,2.56,-4.28,440
1986-2-26,0,0.914292415,1.6707,345.41,1,-8.1,320
1986-2-27,2,0.836718652,1.5036,215.51,0,-4.71,440
1986-2-28,0,0.99202939,1.3875,391.18,1.99,-9.34,293.14
1986-3-1,0,1.087645789,1.2941,395.68,3.82,-7.78,337.59
1986-3-2,0,1.131261812,1.229,370.87,4.51,-5.23,421.66
1986-3-3,0,1.273204186,1.1978,411.03,7,-5.49,401.15
1986-3-4,0,1.27035613,1.1893,323.78,7.4,-0.05,600
1986-3-5,0,1.393883149,1.1638,408.12,8.57,-3,480
1986-3-6,0,1.441095159,1.1298,413.01,9,-3,480
1986-3-7,0,1.314604283,1.0987,422.58,6,-6.5,360
1986-3-8,0,1.06397129,1.0307,415.08,0.42,-11,280
1986-3-9,0,1.589732713,1.0336,455.69,10.67,-7.53,357.4
1986-3-10,0,2.171129772,1.0307,439.29,19.75,2.61,735.99
1986-3-11,0,2.301625053,1.0194,413.04,21.04,7,1000.26
1986-3-12,0,1.693770928,0.9883,404.19,10.87,-1.08,560
1986-3-13,30.75,1.538807801,1.4385,198.65,9.91,3.5,800
1986-3-14,11.57,1.83134601,3.0582,232.28,13.88,6,920
1986-3-15,2.52,2.264136965,3.5113,327.65,19.13,8.5,1120
1986-3-16,0,2.165742666,2.8317,385.64,17,6,920
1986-3-17,0,1.922820163,2.1974,408.79,12.5,0.76,640
1986-3-18,0,2.019711688,1.7925,441.8,13.23,-0.77,578.67
1986-3-19,0,2.294376802,1.5348,382.33,17.69,7,1000
1986-3-20,0,2.427079311,1.4187,456.4,18.12,2.19,720
1986-3-21,0,1.53173528,1.3026,445.76,4.39,-9.07,314.6
1986-3-22,0,1.657945226,1.2176,459.02,6,-8.76,320
1986-3-23,0,1.947439332,1.1327,467.15,9.96,-6,400
1986-3-24,0,2.24678224,1.1044,442.41,13.91,-0.5,599.6
1986-3-25,0,2.362659307,1.0675,485.48,14.99,-3.87,450.46
1986-3-26,0,2.751947104,1.0477,412.94,20.01,6.52,961.67
1986-3-27,0,2.749006122,1.0477,383.27,20,7.99,1078.88
1986-3-28,0,2.523332143,1.0279,436.05,16,1.56,685.16
1986-3-29,0,2.885038109,1.0024,442.11,20.01,4.5,840
1986-3-30,0,3.26004907,0.9628,459.23,23.83,6.23,938.67
1986-3-31,0,3.451374067,0.943,464.87,25.5,6.98,998.25
1986-4-1,0,3.057994356,0.9231,471.03,20.6,2.5,720
1986-4-2,0,3.272828209,0.9118,402.94,23.31,9.5,1200
1986-4-3,0,2.782851623,0.8948,391.32,17.43,4.8,863.85
1986-4-4,0,2.765433375,0.8948,416.39,16.52,2.78,742.71
1986-4-5,3.4,2.18531718,0.9061,166.35,13.2,7,1000
1986-4-6,11.43,1.656963533,1.1242,93.75,9.53,6.37,949.91
1986-4-7,1.99,2.637375044,1.2941,322.25,16,6.8,983.91
1986-4-8,0,3.433637776,1.1921,437.35,22.57,8,1080
1986-4-9,0,2.95085508,1.0704,408.53,17.5,5.21,897.09
1986-4-10,0,2.183968033,0.9684,281.79,10.52,3.25,779.78
1986-4-11,0,2.077415029,0.9231,273.49,9.1,2.22,720
1986-4-12,0,2.5261012,0.8976,360.36,12.7,3,759.89
1986-4-13,1.84,2.525803066,0.8807,403.41,11.63,0.4,626.69
1986-4-14,0,2.934421678,0.8608,437.61,15.49,2.51,732.02
1986-4-15,2.99,2.883822936,0.8778,387.84,14.32,0.29,623.02
1986-4-16,47.77,2.276656394,1.9878,148.93,13.51,8.53,1122.22
1986-4-17,8.16,2.16565934,3.483,155.25,11.5,6.5,960
1986-4-18,2.61,2.866210929,3.398,314.66,15.46,6,920
1986-4-19,0,3.445472499,2.86,502.3,18.7,2.5,720
1986-4-20,0,3.290236451,2.2625,501.72,16.9,1.07,645.23
1986-4-21,6.09,3.091512182,1.9171,252.6,18.1,9.43,1194.23
1986-4-22,4.28,3.022257892,1.8038,319.25,15.07,3.75,800
1986-4-23,6.58,2.08768629,1.8859,214.38,7,0.5,640
1986-4-24,0,3.530671544,1.8689,508.98,18.39,2.99,759.21
1986-4-25,0,3.675927964,1.6877,440.61,21,9,1159.96
1986-4-26,0,3.524035765,1.5263,441.89,19.27,7.46,1036.66
1986-4-27,0,3.854329475,1.4527,474.44,21.52,8,1080
1986-4-28,0,4.112115593,1.3762,509.96,22.9,7.04,1003.14
1986-4-29,2,3.794525372,1.3281,468.18,20.76,7.9,1071.63
1986-4-30,0,4.096171816,1.3366,486.1,22.98,9.07,1165.45
1986-5-1,0,4.456570805,1.2884,507.24,25.44,9.84,1218.05
1986-5-2,0,4.007726359,1.212,476.85,22.07,8.99,1158.88
1986-5-3,0,3.16812303,1.1667,449.29,14.5,3.52,799.81
1986-5-4,0,3.673700621,1.11,543.53,17.28,0.8,640
1986-5-5,0,4.677824348,1.0647,525.99,26,8.8,1124.92
1986-5-6,0,5.371563274,1.0477,508.37,31.5,13.8,1500.55
1986-5-7,0,5.243327091,1.0052,474.5,31,15.56,1709.33
1986-5-8,0,4.753224175,0.9769,494.2,26.55,11,1279.26
1986-5-9,0,3.677942421,1.0052,448.04,18.03,6,920.03
1986-5-10,0,4.116458769,0.9798,534.98,20.01,2.7,720
1986-5-11,0,4.108994656,0.9373,526,19.86,2.97,741.66
1986-5-12,0,4.322974029,0.926,524.37,21.49,4.24,800.78
1986-5-13,0,4.093270729,0.9458,489.59,19.95,5,862.17
1986-5-14,0,3.614332129,0.8891,414.53,17.04,5.72,920
1986-5-15,0,3.229174892,0.8863,265.18,17.66,11,1320
1986-5-16,0,4.104669785,0.8778,352.31,23.1,13.45,1552.28
1986-5-17,0,5.526054306,0.8495,477.99,31.14,15,1539.83
1986-5-18,0,5.41695826,0.8212,446.33,30.83,16.24,1711.78
1986-5-19,0,4.735765454,0.7844,346.39,28.21,17.99,2076.1
1986-5-20,14.32,3.646381272,0.9599,178,22.77,16.5,1880
1986-5-21,1.29,3.803801841,1.3507,264.57,23,16,1800
1986-5-22,8.98,4.233453382,1.3224,250.76,24.26,15.18,1734.03
1986-5-23,0,4.377835305,1.229,393.51,23.51,12.52,1426.32
1986-5-24,0,4.62647635,1.0732,434.65,24.5,12,1324.62
1986-5-25,0,4.612407871,0.9543,434.29,24.3,11.86,1295.44
1986-5-26,0,4.313646436,0.8863,401.62,22.52,11.48,1314.78
1986-5-27,0,4.799559441,0.8438,496.31,24.18,8.98,1015.43
1986-5-28,1,5.060230893,0.7929,423.26,28,15.62,1627.26
1986-5-29,0,5.585581925,0.7504,507.33,29.78,13,1259.41
1986-5-30,0,5.841795102,0.6938,464.07,32.5,17.5,1722.82
1986-5-31,0,5.639261875,0.657,406.74,32.5,20,2125.42
1986-6-1,0,5.829257753,0.64,439.28,32.89,19,1930.92
1986-6-2,0,5.412173131,0.6003,450.32,29.51,15.71,1580.36
1986-6-3,0,4.404841238,0.5663,481.36,20.75,6.8,899.17
1986-6-4,0,4.813653677,0.5097,506.32,23.5,8.04,939.5
1986-6-5,0,4.945623167,0.538,401.05,27.27,15.98,1696.28
1986-6-6,0,5.001142212,0.538,368.13,28.78,18.5,2033.03
1986-6-7,0,4.753779961,0.538,333.91,28.03,18.99,2161.19
1986-6-8,0,5.367968092,0.538,387.23,31.05,20,2169.41
1986-6-9,0,5.41639889,0.521,455.11,29.5,16.29,1622.81
1986-6-10,0,5.334116161,0.5012,521.76,27.15,10.99,1097.01
1986-6-11,0,5.844412779,0.4786,475.55,32,17.5,1694.57
1986-6-12,13.13,5.409645016,0.4842,342,29.35,16.18,1670.32
1986-6-13,0,4.682513263,0.538,407.18,25.24,14.69,1446.59
1986-6-14,0,5.251841633,0.5493,465.61,27.98,14.82,1328.2
1986-6-15,0,5.171944049,0.5324,407.06,29,17.86,1713.04
1986-6-16,0,5.097628858,0.4955,357.88,30.12,20.5,2126.56
1986-6-17,0,5.086914343,0.4644,429.28,27.84,16.31,1523.09
1986-6-18,0,4.777484776,0.4531,494.91,23.5,9.74,951.09
1986-6-19,0,5.273851311,0.4446,503.25,27.04,12.15,1075.42
1986-6-20,2.06,4.868467426,0.4531,381.68,27,16.58,1646.09
1986-6-21,0,4.990763501,0.4531,471.43,25.52,12.09,1132.35
1986-6-22,0,5.276988892,0.4446,517.97,26.53,10.46,956.74
1986-6-23,0,5.827437381,0.4332,459.51,32,17.94,1602.82
1986-6-24,14.69,5.442086379,0.4955,312.57,30.16,17.79,1909.58
1986-6-25,0,4.917331326,0.5522,443.88,25.5,12.88,1291.98
1986-6-26,0,5.099188343,0.5012,509.38,25.33,9.66,979.37
1986-6-27,0,5.207527959,0.4502,404.84,28.92,17.31,1750.17
1986-6-28,0,4.70213246,0.4389,269.36,30,22.5,2712.03
1986-6-29,0,5.346125845,0.4474,351.1,32,22,2442.27
1986-6-30,0,5.218552537,0.4332,412.34,29.17,17.6,1765.37
1986-7-1,0,4.498590341,0.4219,346.81,25.54,16.55,1803
1986-7-2,21.16,4.436617197,0.5182,233.11,26.5,18.5,2120
1986-7-3,5.49,4.958796788,0.8976,317.74,27,15.38,1747.99
1986-7-4,0,5.02562195,0.8269,505.18,25.5,10.73,1139.42
1986-7-5,0,5.61626284,0.6286,445.97,31.5,18.41,1894.05
1986-7-6,0,5.951154878,0.5069,430.76,34.27,21.23,2195.64
1986-7-7,0,6.249332663,0.4474,438.06,36,22.14,2274.02
1986-7-8,0,5.720146212,0.4191,369.68,34.5,23.5,2666.73
1986-7-9,0,5.086440507,0.4078,321.84,31.71,22.71,2685.81
1986-7-10,0,5.328669972,0.3964,429.61,30.26,18.1,1836.43
1986-7-11,0,4.957708393,0.3879,415.28,27.97,16.75,1728.85
1986-7-12,0,5.647994877,0.3851,443.1,32.4,19.38,1945.68
1986-7-13,1.12,5.639523,0.3908,378.62,33.23,21.17,2306.42
1986-7-14,0,5.367124466,0.3681,377.06,32.5,21.86,2416.18
1986-7-15,0,5.39990146,0.3625,465.28,30.28,16.68,1608.38
1986-7-16,35.4,5.085317988,0.3568,308.75,29.5,18.14,1817.15
1986-7-17,2.33,4.363476655,0.3936,259.44,28.5,21.28,2493.48
1986-7-18,8.32,5.104125317,0.4672,269.46,31.46,21.5,2511.86
1986-7-19,18.22,4.139782188,0.9231,198.32,27.61,21,2480
1986-7-20,0,4.377810146,1.0392,315.81,27.64,19.69,2286.89
1986-7-21,0,5.02574033,0.9118,377.09,31.03,20.98,2295.79
1986-7-22,0,5.057278247,0.5947,417.93,30.25,19.11,1948.57
1986-7-23,0,4.918382858,0.5097,401.41,29.91,19.5,1998.73
1986-7-24,0,5.015968022,0.4248,434.61,29.8,18.26,1794.16
1986-7-25,0,4.933913308,0.3964,411.95,30,19.26,1953.08
1986-7-26,7.33,4.598975345,0.4248,232.38,31,23.15,2823.74
1986-7-27,4.03,4.947277114,0.5947,335.94,31,20.76,2322.41
1986-7-28,0,4.938490899,0.7646,389.95,31.17,21,2279.13
1986-7-29,0,5.228559442,0.7079,412.63,32.76,21.5,2271.99
1986-7-30,0.19,4.970687257,1.2176,416.52,30.76,19.6,2034.35
1986-7-31,0,4.306021179,1.4725,343.73,27.86,19.44,2185.14
1986-8-1,0,4.463799379,1.1893,385.28,27.94,18.26,1960.32
1986-8-2,22.47,4.784319905,1.076,296.03,30.63,20.44,2367.33
1986-8-3,15.05,4.359650667,1.4158,264.45,28.5,19.75,2300.33
1986-8-4,0,4.688058144,1.0477,411.91,29.5,18.72,2107
1986-8-5,0,4.786897804,0.8495,444.81,29.5,17.44,1907.1
1986-8-6,0,4.553259235,0.7646,390.97,29.48,19.5,2246.01
1986-8-7,3.32,4.240305762,0.6796,250.9,29,20.85,2456.31
1986-8-8,0,4.327233044,0.5947,307.24,31,23.34,2854.4
1986-8-9,0,4.71133573,0.4814,377.53,31.78,21.9,2598.15
1986-8-10,0,4.82514219,0.4531,429.97,31.22,19.47,2193.22
1986-8-11,0,4.225244701,0.4248,314.98,30.5,22.79,2765.62
1986-8-12,0,3.891531963,0.4248,338.75,26.83,19,2199.91
1986-8-13,0,3.873156308,0.3964,364.03,25.98,17.56,2005.82
1986-8-14,0,4.367086485,0.3681,468.98,27.37,14.84,1624.92
1986-8-15,0,4.540418196,0.3681,468.75,28.99,16,1738.34
1986-8-16,0,4.498610622,0.3681,411.34,30.42,19.53,2240.24
1986-8-17,0,4.180709106,0.3681,320.81,31.01,23,2799.91
1986-8-18,9.59,3.873905913,0.3964,243.07,28.27,20.5,2400
1986-8-19,0,4.085757037,0.3964,378.12,28.5,19,2190.65
1986-8-20,7.73,3.377935634,0.3681,205.9,25.71,19.5,2280
1986-8-21,25.17,2.743247219,0.5663,151.05,22.2,17.99,2078.43
1986-8-22,0,3.728137872,1.1044,391.08,25.63,16.27,1843.52
1986-8-23,0,3.999701032,0.9628,420.58,27.51,16.73,1895.74
1986-8-24,0,3.703715597,0.7079,375.39,26.39,17.42,1986.48
1986-8-25,0,3.891629987,0.5097,479.96,25.3,11.74,1372.77
1986-8-26,0,4.050011661,0.4531,458.58,27.5,14.5,1633.54
1986-8-27,0,4.141907508,0.4531,379.43,30.76,20.58,2412.36
1986-8-28,11,3.718522973,0.538,355.53,24.51,11,1320
1986-8-29,0,3.215634221,0.4531,480.57,19.5,6.38,950.21
1986-8-30,0,3.474530369,0.4361,499.56,22,6.63,969.41
1986-8-31,0,3.690504361,0.4163,495.24,24.51,8.5,1117.02
1986-9-1,0,3.464412394,0.3993,444.09,23.56,11,1320
1986-9-2,5,2.410426404,0.4106,136.7,20.5,16.38,1860
1986-9-3,0,2.904653225,0.4304,263.82,23.5,17.24,1958.45
1986-9-4,0,3.16651254,0.4332,317.01,24.98,17.18,1949.09
1986-9-5,4.69,3.102465422,0.4248,218.27,25.53,18.44,2114.84
1986-9-6,3.12,3.458740489,0.4332,278.64,27,17.06,1929.41
1986-9-7,0,3.32725448,0.4304,413.31,24.76,13.25,1519.7
1986-9-8,3,2.951158316,0.4163,275.1,22.04,12.73,1458.38
1986-9-9,0,3.274328685,0.4106,481.03,23.5,7.4,1032.07
1986-9-10,0,3.206252702,0.3936,446.21,23.62,9.88,1230.1
1986-9-11,0,3.398904693,0.3766,346.56,28.25,18.34,2108.24
1986-9-12,0,3.314886329,0.3681,301.63,29,20.5,2400
1986-9-13,0,3.264287386,0.3568,405.13,26.07,13.78,1582.16
1986-9-14,0,2.964235332,0.3483,407.16,23,11.06,1324.42
1986-9-15,0,3.106394031,0.337,434.75,24.5,10.4,1271.97
1986-9-16,0,2.845264139,0.3341,392.57,22.5,10.93,1314.21
1986-9-17,0,2.598898374,0.3313,428.46,19.12,5.8,920.09
1986-9-18,0,2.724300385,0.3285,437.59,21,6.41,952.9
1986-9-19,2,2.449561919,0.3455,252.03,21.88,15.01,1710.98
1986-9-20,0,2.883050744,0.3625,380.98,24.5,12.19,1415.43
1986-9-21,0,2.759971314,0.3625,303.76,25,15.87,1789.36
1986-9-22,0,2.587173201,0.3681,309.17,23,13.84,1586.86
1986-9-23,21.61,2.968741233,0.3738,251.95,27.5,16.53,1879.76
1986-9-24,7.43,2.579761196,0.7221,165.86,26.5,19.91,2313.14
1986-9-25,0,2.432211923,0.9175,208.16,25.5,19.47,2275.24
1986-9-26,2.15,3.044799939,0.8863,310.68,29.54,17.92,2067.82
1986-9-27,7.72,2.5928928,0.6909,221.78,25.5,16.5,1880
1986-9-28,0,2.053182101,0.6541,204.53,20.98,15.41,1752.88
1986-9-29,0,2.3521197,0.5947,264.21,24.05,16.5,1880
1986-9-30,0,2.942444198,0.5012,322.39,30.5,19.74,2299.22
1986-10-1,7.8,2.839527659,0.4531,226.27,30.35,20.86,2457.95
1986-10-2,7.56,2.736245762,0.5097,237.51,28.98,18.5,2120
1986-10-3,0.01,2.403721177,0.5947,297.03,25.47,16.23,1837.34
1986-10-4,0.08,2.315102882,0.5097,222.97,26.69,19.92,2314.23
1986-10-5,0,2.383772273,0.4814,298.62,25.97,16.36,1855.18
1986-10-6,0,1.987422095,0.4248,302.35,20.35,11.19,1334.99
1986-10-7,0,1.833767551,0.4248,400.7,17.54,2.52,728.88
1986-10-8,0,1.969663771,0.3964,392,20.51,5.26,901
1986-10-9,0,2.145921632,0.3964,318.47,24,13.18,1508.7
1986-10-10,0,1.761016053,0.3964,316.5,18.1,8.05,1084.3
1986-10-11,0,1.605613358,0.4248,272.61,16.25,8.15,1091.73
